                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.941,                 3.3735,                 2.0462,                0.29447,                0.35685,                0.24461,                0.12572,                 2.0821,                  2.326,                 1.9548,                0.07016,              0.0033155,              0.0033155
                      1,                 1.8028,                 2.3261,                 1.8433,                0.34055,                 0.2934,                0.23704,                0.11799,                 2.0909,                 2.3647,                 1.9373,               0.039897,              0.0063855,              0.0063855
                      2,                 1.8021,                 2.4202,                 1.8248,                0.33069,                0.23117,                0.18607,                0.09418,                  2.212,                 2.9603,                  1.988,              0.0093698,              0.0091916,              0.0091916
                      3,                  1.834,                 2.5142,                 1.8711,                0.31506,                0.30904,                0.22385,                0.11177,                 2.0832,                 2.7001,                 1.9608,               0.008812,               0.008812,               0.008812
                      4,                 1.8348,                 2.4687,                 1.8785,                0.30621,                0.23056,                0.17591,                0.08519,                 2.2569,                 2.6825,                 2.1549,               0.008812,               0.008812,               0.008812
                      5,                 1.8396,                  2.411,                 1.9096,                0.38712,                0.30702,                0.27658,                 0.1427,                 2.0581,                 2.7302,                 1.9733,               0.008416,               0.008416,               0.008416
                      6,                 1.7955,                 2.3699,                 1.8864,                0.40575,                0.31966,                0.27068,                0.13595,                 2.0902,                 2.4732,                 2.0011,                0.00802,                0.00802,                0.00802
                      7,                 1.7657,                 2.3274,                  1.862,                 0.3874,                0.33629,                0.29749,                 0.1556,                 2.0557,                 2.4114,                 1.9926,               0.007624,               0.007624,               0.007624
                      8,                 1.7349,                 2.2519,                 1.8438,                 0.3956,                0.33768,                0.30998,                0.17335,                 2.0265,                 2.3065,                 1.9393,               0.007228,               0.007228,               0.007228
                      9,                 1.7302,                 2.1957,                 1.8221,                0.38269,                0.40939,                 0.3252,                0.17704,                 1.9856,                 2.2507,                 1.8893,               0.006832,               0.006832,               0.006832
                     10,                 1.6786,                 2.0969,                 1.7877,                0.45515,                0.33956,                0.33008,                 0.1775,                 1.9836,                 2.1701,                 1.9243,               0.006436,               0.006436,               0.006436
                     11,                 1.6767,                 2.0318,                 1.7795,                0.41507,                0.37446,                0.35408,                0.19522,                 1.9246,                 2.1299,                 1.8505,                0.00604,                0.00604,                0.00604
                     12,                 1.6151,                 1.9626,                 1.7534,                0.48654,                0.40183,                0.38004,                 0.1961,                 1.9757,                 2.1212,                 1.8826,               0.005644,               0.005644,               0.005644
                     13,                 1.6164,                 1.9735,                 1.7436,                0.49124,                0.37262,                0.37469,                 0.2054,                 1.9069,                 2.0983,                 1.8547,               0.005248,               0.005248,               0.005248
                     14,                 1.6056,                 1.8946,                 1.7254,                0.48434,                0.36989,                 0.3736,                0.19907,                 1.9171,                  2.049,                 1.8454,               0.004852,               0.004852,               0.004852
                     15,                 1.5634,                 1.8105,                  1.696,                0.46222,                0.39014,                0.35067,                0.19871,                  1.938,                 2.1165,                 1.8737,               0.004456,               0.004456,               0.004456
                     16,                 1.5697,                 1.8104,                 1.6975,                0.43981,                0.40301,                0.38067,                0.19819,                 1.9429,                 2.0885,                 1.8618,                0.00406,                0.00406,                0.00406
                     17,                 1.5222,                 1.7726,                 1.6707,                0.51344,                0.41546,                0.39752,                 0.2189,                 1.8842,                 1.9465,                 1.8258,               0.003664,               0.003664,               0.003664
                     18,                 1.5075,                 1.7265,                 1.6561,                0.52314,                0.42609,                0.39734,                0.21765,                 1.8901,                 1.9434,                 1.8071,               0.003268,               0.003268,               0.003268
                     19,                 1.4755,                 1.6122,                 1.6115,                 0.4889,                0.45435,                0.43142,                0.23018,                 1.8697,                 1.8758,                 1.7911,               0.002872,               0.002872,               0.002872
                     20,                  1.454,                 1.5997,                 1.6164,                0.46692,                0.41917,                0.39081,                 0.2164,                  1.877,                 1.9809,                  1.787,               0.002476,               0.002476,               0.002476
                     21,                 1.4638,                 1.5672,                 1.6129,                0.51936,                0.43262,                0.41973,                0.22932,                 1.8604,                 1.9345,                 1.7913,                0.00208,                0.00208,                0.00208
                     22,                 1.4287,                 1.4775,                 1.5809,                0.55252,                0.43181,                0.43661,                0.24559,                 1.8537,                 1.8783,                 1.7925,               0.001684,               0.001684,               0.001684
                     23,                 1.3935,                 1.4439,                  1.565,                0.56114,                0.42675,                0.44585,                0.24502,                 1.8503,                 1.8665,                 1.7979,               0.001288,               0.001288,               0.001288
                     24,                 1.3684,                 1.4276,                 1.5413,                0.53087,                0.45797,                0.43966,                0.24305,                 1.8408,                 1.8637,                 1.7815,               0.000892,               0.000892,               0.000892
